V,C
-5.1,5.42286E-011
-5.2,5.42285E-011
-5.3,5.42285E-011
-5.4,5.42282E-011
-5.5,5.42282E-011
-5.6,5.42287E-011
-5.7,5.42281E-011
-5.8,5.4228E-011
-5.9,5.42283E-011
-6,5.42281E-011
-6.1,5.42286E-011
-6.2,5.42277E-011
-6.3,5.42281E-011
-6.4,5.4228E-011
-6.5,5.42282E-011
-6.6,5.4228E-011
-6.7,5.42279E-011
-6.8,5.42278E-011
-6.9,5.42278E-011
-7,5.42277E-011
-7.1,5.42276E-011
-7.2,5.4228E-011
-7.3,5.4228E-011
-7.4,5.42275E-011
-7.5,5.42274E-011
-7.6,5.42276E-011
-7.7,5.42273E-011
-7.8,5.42276E-011
-7.9,5.42278E-011
-8,5.42275E-011
-8.1,5.4228E-011
-8.2,5.42276E-011
-8.3,5.42278E-011
-8.4,5.42275E-011
-8.5,5.42278E-011
-8.6,5.42279E-011
-8.7,5.42282E-011
-8.8,5.42282E-011
-8.9,5.42279E-011
-9,5.42273E-011
-9.1,5.4228E-011
-9.2,5.42283E-011
-9.3,5.42282E-011
-9.4,5.42283E-011
-9.5,5.42276E-011
-9.6,5.42281E-011
-9.7,5.42282E-011
-9.8,5.42276E-011
-9.9,5.4228E-011
-10,5.42277E-011
-10.1,5.42277E-011
-10.2,5.42274E-011
-10.3,5.42276E-011
-10.4,5.42278E-011
-10.5,5.42278E-011
-10.6,5.42284E-011
-10.7,5.42282E-011
-10.8,5.42278E-011
-10.9,5.42283E-011
-11,5.42282E-011
-11.1,5.42278E-011
-11.2,5.42274E-011
-11.3,5.42277E-011
-11.4,5.42281E-011
-11.5,5.42282E-011
-11.6,5.42283E-011
-11.7,5.42286E-011
-11.8,5.42283E-011
-11.9,5.42283E-011
-12,5.42286E-011
-12.1,5.42278E-011
-12.2,5.42285E-011
-12.3,5.42285E-011
-12.4,5.42288E-011
-12.5,5.42288E-011
-12.6,5.42287E-011
-12.7,5.42287E-011
-12.8,5.42286E-011
-12.9,5.42287E-011
-13,5.42288E-011
-13.1,5.42289E-011
-13.2,5.42289E-011
-13.3,5.42288E-011
-13.4,5.42293E-011
-13.5,5.42281E-011
-13.6,5.42289E-011
-13.7,5.4229E-011
-13.8,5.42291E-011
-13.9,5.42287E-011
-14,5.42291E-011
-14.1,5.42292E-011
-14.2,5.42288E-011
-14.3,5.42298E-011
-14.4,5.42301E-011
-14.5,5.42292E-011
-14.6,5.42298E-011
-14.7,5.42297E-011
-14.8,5.42303E-011
-14.9,5.42298E-011
-15,5.42297E-011
